escenario,minuto,es_hora_pico,velocidad_media_kmh_mean,velocidad_media_kmh_std,velocidad_media_kmh_min,velocidad_media_kmh_max,pct_ruta_directa_mean,pct_ruta_directa_std,pct_ruta_directa_min,pct_ruta_directa_max,pct_reroutean_mean,pct_reroutean_std,pct_reroutean_min,pct_reroutean_max,pct_metro_mean,pct_metro_std,pct_metro_min,pct_metro_max,modal_shift_acum_mean,modal_shift_acum_std,modal_shift_acum_min,modal_shift_acum_max,recaudacion_acum_usd_mean,recaudacion_acum_usd_std,recaudacion_acum_usd_min,recaudacion_acum_usd_max,directo_nse_bajo_corr_mean,directo_nse_bajo_corr_std,directo_nse_bajo_corr_min,directo_nse_bajo_corr_max,pct_metro_bajo_corr_mean,pct_metro_bajo_corr_std,pct_metro_bajo_corr_min,pct_metro_bajo_corr_max
E0,375,False,35.6,,35.6,35.6,82.0,,82.0,82.0,9.3,,9.3,9.3,8.7,,8.7,8.7,324.0,,324,324,0.0,,0.0,0.0,89.0,,89,89,14.414414414414415,,14.414414414414415,14.414414414414415
E0,390,False,35.7,,35.7,35.7,81.0,,81.0,81.0,9.3,,9.3,9.3,9.7,,9.7,9.7,803.0,,803,803,0.0,,0.0,0.0,89.0,,89,89,14.414414414414415,,14.414414414414415,14.414414414414415
E0,405,False,36.1,,36.1,36.1,82.7,,82.7,82.7,9.3,,9.3,9.3,8.0,,8.0,8.0,1287.0,,1287,1287,0.0,,0.0,0.0,91.0,,91,91,12.612612612612612,,12.612612612612612,12.612612612612612
E0,420,True,36.0,,36.0,36.0,82.3,,82.3,82.3,9.3,,9.3,9.3,8.3,,8.3,8.3,1772.0,,1772,1772,0.0,,0.0,0.0,91.0,,91,91,12.612612612612612,,12.612612612612612,12.612612612612612
E0,435,True,36.1,,36.1,36.1,83.7,,83.7,83.7,7.9,,7.9,7.9,8.4,,8.4,8.4,2272.0,,2272,2272,0.0,,0.0,0.0,113.0,,113,113,12.5,,12.5,12.5
E0,450,True,34.5,,34.5,34.5,84.8,,84.8,84.8,6.9,,6.9,6.9,8.3,,8.3,8.3,2840.0,,2840,2840,0.0,,0.0,0.0,131.0,,131,131,13.20754716981132,,13.20754716981132,13.20754716981132
E0,465,True,34.6,,34.6,34.6,84.3,,84.3,84.3,7.4,,7.4,7.4,8.4,,8.4,8.4,3498.0,,3498,3498,0.0,,0.0,0.0,156.0,,156,156,11.229946524064172,,11.229946524064172,11.229946524064172
E0,480,True,34.0,,34.0,34.0,84.0,,84.0,84.0,7.2,,7.2,7.2,8.8,,8.8,8.8,4292.0,,4292,4292,0.0,,0.0,0.0,177.0,,177,177,13.24200913242009,,13.24200913242009,13.24200913242009
E0,495,True,33.5,,33.5,33.5,83.4,,83.4,83.4,7.5,,7.5,7.5,9.1,,9.1,9.1,5194.0,,5194,5194,0.0,,0.0,0.0,194.0,,194,194,12.184873949579831,,12.184873949579831,12.184873949579831
E0,510,True,33.4,,33.4,33.4,83.3,,83.3,83.3,7.5,,7.5,7.5,9.2,,9.2,9.2,6155.0,,6155,6155,0.0,,0.0,0.0,214.0,,214,214,11.83206106870229,,11.83206106870229,11.83206106870229
E0,525,True,34.1,,34.1,34.1,83.3,,83.3,83.3,7.9,,7.9,7.9,8.8,,8.8,8.8,7231.0,,7231,7231,0.0,,0.0,0.0,232.0,,232,232,12.714776632302405,,12.714776632302405,12.714776632302405
E0,540,True,32.2,,32.2,32.2,83.2,,83.2,83.2,7.5,,7.5,7.5,9.3,,9.3,9.3,8412.0,,8412,8412,0.0,,0.0,0.0,258.0,,258,258,11.875,,11.875,11.875
E0,555,True,32.1,,32.1,32.1,83.6,,83.6,83.6,7.3,,7.3,7.3,9.2,,9.2,9.2,9756.0,,9756,9756,0.0,,0.0,0.0,277.0,,277,277,13.218390804597702,,13.218390804597702,13.218390804597702
E0,570,True,32.9,,32.9,32.9,83.5,,83.5,83.5,7.1,,7.1,7.1,9.4,,9.4,9.4,11190.0,,11190,11190,0.0,,0.0,0.0,297.0,,297,297,13.404825737265416,,13.404825737265416,13.404825737265416
E0,585,True,31.7,,31.7,31.7,83.1,,83.1,83.1,7.3,,7.3,7.3,9.6,,9.6,9.6,12625.0,,12625,12625,0.0,,0.0,0.0,316.0,,316,316,13.06532663316583,,13.06532663316583,13.06532663316583
E0,600,True,31.2,,31.2,31.2,82.3,,82.3,82.3,7.8,,7.8,7.8,9.8,,9.8,9.8,14142.0,,14142,14142,0.0,,0.0,0.0,340.0,,340,340,12.88056206088993,,12.88056206088993,12.88056206088993
E0,615,False,31.5,,31.5,31.5,82.3,,82.3,82.3,7.7,,7.7,7.7,10.0,,10.0,10.0,15651.0,,15651,15651,0.0,,0.0,0.0,339.0,,339,339,13.317757009345794,,13.317757009345794,13.317757009345794
E0,630,False,31.9,,31.9,31.9,82.9,,82.9,82.9,7.5,,7.5,7.5,9.6,,9.6,9.6,17178.0,,17178,17178,0.0,,0.0,0.0,342.0,,342,342,12.616822429906541,,12.616822429906541,12.616822429906541
E0,645,False,30.7,,30.7,30.7,82.9,,82.9,82.9,7.5,,7.5,7.5,9.7,,9.7,9.7,18661.0,,18661,18661,0.0,,0.0,0.0,341.0,,341,341,12.850467289719624,,12.850467289719624,12.850467289719624
E0,660,False,31.5,,31.5,31.5,82.4,,82.4,82.4,7.5,,7.5,7.5,10.1,,10.1,10.1,20165.0,,20165,20165,0.0,,0.0,0.0,339.0,,339,339,13.317757009345794,,13.317757009345794,13.317757009345794
E0,675,False,32.1,,32.1,32.1,82.6,,82.6,82.6,7.5,,7.5,7.5,9.9,,9.9,9.9,21690.0,,21690,21690,0.0,,0.0,0.0,342.0,,342,342,12.616822429906541,,12.616822429906541,12.616822429906541
E0,690,False,32.5,,32.5,32.5,82.2,,82.2,82.2,7.8,,7.8,7.8,10.0,,10.0,10.0,23215.0,,23215,23215,0.0,,0.0,0.0,341.0,,341,341,12.850467289719624,,12.850467289719624,12.850467289719624
E0,705,False,31.2,,31.2,31.2,83.1,,83.1,83.1,7.5,,7.5,7.5,9.3,,9.3,9.3,24738.0,,24738,24738,0.0,,0.0,0.0,342.0,,342,342,12.616822429906541,,12.616822429906541,12.616822429906541
E0,720,False,30.4,,30.4,30.4,83.1,,83.1,83.1,7.5,,7.5,7.5,9.4,,9.4,9.4,26244.0,,26244,26244,0.0,,0.0,0.0,342.0,,342,342,12.616822429906541,,12.616822429906541,12.616822429906541
E0,735,False,31.4,,31.4,31.4,82.6,,82.6,82.6,7.7,,7.7,7.7,9.7,,9.7,9.7,27751.0,,27751,27751,0.0,,0.0,0.0,343.0,,343,343,12.383177570093459,,12.383177570093459,12.383177570093459
E0,750,False,31.1,,31.1,31.1,82.4,,82.4,82.4,7.5,,7.5,7.5,10.1,,10.1,10.1,29265.0,,29265,29265,0.0,,0.0,0.0,340.0,,340,340,13.084112149532709,,13.084112149532709,13.084112149532709
E0,765,False,32.0,,32.0,32.0,82.5,,82.5,82.5,7.5,,7.5,7.5,10.1,,10.1,10.1,30781.0,,30781,30781,0.0,,0.0,0.0,342.0,,342,342,12.616822429906541,,12.616822429906541,12.616822429906541
E0,780,False,32.1,,32.1,32.1,82.8,,82.8,82.8,7.8,,7.8,7.8,9.4,,9.4,9.4,32273.0,,32273,32273,0.0,,0.0,0.0,348.0,,348,348,11.214953271028037,,11.214953271028037,11.214953271028037
E0,795,False,30.9,,30.9,30.9,83.2,,83.2,83.2,7.5,,7.5,7.5,9.2,,9.2,9.2,33797.0,,33797,33797,0.0,,0.0,0.0,341.0,,341,341,12.850467289719624,,12.850467289719624,12.850467289719624
E0,810,False,31.9,,31.9,31.9,82.4,,82.4,82.4,7.6,,7.6,7.6,10.0,,10.0,10.0,35308.0,,35308,35308,0.0,,0.0,0.0,339.0,,339,339,13.317757009345794,,13.317757009345794,13.317757009345794
E0,825,False,31.6,,31.6,31.6,83.2,,83.2,83.2,7.5,,7.5,7.5,9.3,,9.3,9.3,36808.0,,36808,36808,0.0,,0.0,0.0,346.0,,346,346,11.682242990654206,,11.682242990654206,11.682242990654206
E0,840,False,31.8,,31.8,31.8,83.1,,83.1,83.1,7.5,,7.5,7.5,9.4,,9.4,9.4,38277.0,,38277,38277,0.0,,0.0,0.0,345.0,,345,345,11.91588785046729,,11.91588785046729,11.91588785046729
E0,855,False,31.8,,31.8,31.8,83.1,,83.1,83.1,7.6,,7.6,7.6,9.2,,9.2,9.2,39811.0,,39811,39811,0.0,,0.0,0.0,343.0,,343,343,12.383177570093459,,12.383177570093459,12.383177570093459
E0,870,False,31.8,,31.8,31.8,83.3,,83.3,83.3,7.5,,7.5,7.5,9.2,,9.2,9.2,41335.0,,41335,41335,0.0,,0.0,0.0,343.0,,343,343,12.383177570093459,,12.383177570093459,12.383177570093459
E0,885,False,31.2,,31.2,31.2,83.5,,83.5,83.5,7.5,,7.5,7.5,9.1,,9.1,9.1,42808.0,,42808,42808,0.0,,0.0,0.0,345.0,,345,345,11.91588785046729,,11.91588785046729,11.91588785046729
E0,900,False,31.0,,31.0,31.0,83.2,,83.2,83.2,7.5,,7.5,7.5,9.2,,9.2,9.2,44331.0,,44331,44331,0.0,,0.0,0.0,343.0,,343,343,12.383177570093459,,12.383177570093459,12.383177570093459
E0,915,False,31.3,,31.3,31.3,83.4,,83.4,83.4,7.5,,7.5,7.5,9.2,,9.2,9.2,45841.0,,45841,45841,0.0,,0.0,0.0,343.0,,343,343,12.383177570093459,,12.383177570093459,12.383177570093459
E0,930,False,30.4,,30.4,30.4,82.4,,82.4,82.4,7.5,,7.5,7.5,10.1,,10.1,10.1,47317.0,,47317,47317,0.0,,0.0,0.0,339.0,,339,339,13.317757009345794,,13.317757009345794,13.317757009345794
E0,945,False,32.1,,32.1,32.1,82.4,,82.4,82.4,7.7,,7.7,7.7,9.9,,9.9,9.9,48830.0,,48830,48830,0.0,,0.0,0.0,337.0,,337,337,13.785046728971961,,13.785046728971961,13.785046728971961
E0,960,False,30.9,,30.9,30.9,83.0,,83.0,83.0,7.6,,7.6,7.6,9.3,,9.3,9.3,50347.0,,50347,50347,0.0,,0.0,0.0,341.0,,341,341,12.850467289719624,,12.850467289719624,12.850467289719624
E0,975,False,31.7,,31.7,31.7,83.1,,83.1,83.1,7.5,,7.5,7.5,9.4,,9.4,9.4,51862.0,,51862,51862,0.0,,0.0,0.0,339.0,,339,339,13.317757009345794,,13.317757009345794,13.317757009345794
E0,990,False,31.0,,31.0,31.0,82.5,,82.5,82.5,7.6,,7.6,7.6,9.9,,9.9,9.9,53363.0,,53363,53363,0.0,,0.0,0.0,341.0,,341,341,12.850467289719624,,12.850467289719624,12.850467289719624
E0,1005,False,31.2,,31.2,31.2,83.2,,83.2,83.2,7.5,,7.5,7.5,9.3,,9.3,9.3,54871.0,,54871,54871,0.0,,0.0,0.0,343.0,,343,343,12.383177570093459,,12.383177570093459,12.383177570093459
E0,1020,True,31.3,,31.3,31.3,82.8,,82.8,82.8,7.6,,7.6,7.6,9.6,,9.6,9.6,56379.0,,56379,56379,0.0,,0.0,0.0,343.0,,343,343,12.383177570093459,,12.383177570093459,12.383177570093459
E0,1035,True,31.1,,31.1,31.1,83.7,,83.7,83.7,7.8,,7.8,7.8,8.6,,8.6,8.6,57903.0,,57903,57903,0.0,,0.0,0.0,368.0,,368,368,11.504424778761061,,11.504424778761061,11.504424778761061
E0,1050,True,30.3,,30.3,30.3,82.5,,82.5,82.5,7.9,,7.9,7.9,9.6,,9.6,9.6,59407.0,,59407,59407,0.0,,0.0,0.0,380.0,,380,380,12.447257383966246,,12.447257383966246,12.447257383966246
E0,1065,True,30.8,,30.8,30.8,83.1,,83.1,83.1,7.6,,7.6,7.6,9.3,,9.3,9.3,60913.0,,60913,60913,0.0,,0.0,0.0,398.0,,398,398,12.525252525252526,,12.525252525252526,12.525252525252526
E0,1080,True,29.1,,29.1,29.1,83.0,,83.0,83.0,7.7,,7.7,7.7,9.2,,9.2,9.2,62490.0,,62490,62490,0.0,,0.0,0.0,419.0,,419,419,11.992263056092844,,11.992263056092844,11.992263056092844
E0,1095,True,28.8,,28.8,28.8,83.0,,83.0,83.0,7.1,,7.1,7.1,9.9,,9.9,9.9,64106.0,,64106,64106,0.0,,0.0,0.0,443.0,,443,443,11.926605504587156,,11.926605504587156,11.926605504587156
E0,1110,True,29.2,,29.2,29.2,81.7,,81.7,81.7,7.5,,7.5,7.5,10.8,,10.8,10.8,65736.0,,65736,65736,0.0,,0.0,0.0,460.0,,460,460,12.631578947368421,,12.631578947368421,12.631578947368421
E0,1125,True,28.0,,28.0,28.0,80.7,,80.7,80.7,7.9,,7.9,7.9,11.4,,11.4,11.4,67388.0,,67388,67388,0.0,,0.0,0.0,480.0,,480,480,12.478920741989882,,12.478920741989882,12.478920741989882
E0,1140,True,28.3,,28.3,28.3,80.5,,80.5,80.5,8.2,,8.2,8.2,11.2,,11.2,11.2,69063.0,,69063,69063,0.0,,0.0,0.0,498.0,,498,498,12.5,,12.5,12.5
E0,1155,True,28.1,,28.1,28.1,79.4,,79.4,79.4,8.7,,8.7,8.7,12.0,,12.0,12.0,70825.0,,70825,70825,0.0,,0.0,0.0,515.0,,515,515,12.401883830455258,,12.401883830455258,12.401883830455258
E0,1170,True,27.7,,27.7,27.7,80.3,,80.3,80.3,8.3,,8.3,8.3,11.5,,11.5,11.5,72609.0,,72609,72609,0.0,,0.0,0.0,536.0,,536,536,12.368024132730016,,12.368024132730016,12.368024132730016
E0,1185,True,28.2,,28.2,28.2,78.4,,78.4,78.4,8.5,,8.5,8.5,13.1,,13.1,13.1,74409.0,,74409,74409,0.0,,0.0,0.0,560.0,,560,560,12.78735632183908,,12.78735632183908,12.78735632183908
E0,1200,True,27.8,,27.8,27.8,77.9,,77.9,77.9,9.4,,9.4,9.4,12.8,,12.8,12.8,76209.0,,76209,76209,0.0,,0.0,0.0,583.0,,583,583,12.292817679558011,,12.292817679558011,12.292817679558011
E0,1215,False,26.3,,26.3,26.3,85.6,,85.6,85.6,6.2,,6.2,6.2,8.1,,8.1,8.1,77827.0,,77827,77827,0.0,,0.0,0.0,697.0,,697,697,1.9337016574585635,,1.9337016574585635,1.9337016574585635
E0,1230,False,26.2,,26.2,26.2,89.1,,89.1,89.1,4.7,,4.7,4.7,6.2,,6.2,6.2,79153.0,,79153,79153,0.0,,0.0,0.0,715.0,,715,715,0.5524861878453038,,0.5524861878453038,0.5524861878453038
E0,1245,False,27.2,,27.2,27.2,84.8,,84.8,84.8,6.1,,6.1,6.1,9.1,,9.1,9.1,80403.0,,80403,80403,0.0,,0.0,0.0,715.0,,715,715,0.6906077348066298,,0.6906077348066298,0.6906077348066298
E0,1260,False,26.5,,26.5,26.5,86.2,,86.2,86.2,5.8,,5.8,5.8,8.0,,8.0,8.0,81709.0,,81709,81709,0.0,,0.0,0.0,715.0,,715,715,0.6906077348066298,,0.6906077348066298,0.6906077348066298
E0,1275,False,26.9,,26.9,26.9,85.4,,85.4,85.4,5.9,,5.9,5.9,8.7,,8.7,8.7,82956.0,,82956,82956,0.0,,0.0,0.0,691.0,,691,691,2.9005524861878453,,2.9005524861878453,2.9005524861878453
